enrollee_id,relevent_experience,experience,company_size,company_type,last_new_job
4874,Has relevent experience,>20,1000-4999,Public Sector,>4
30799,Has relevent experience,18,1000-4999,Other,4
5835,Has relevent experience,19,,,1
24572,Has relevent experience,8,<10,Pvt Ltd,2
75,No relevent experience,3,,Pvt Ltd,never
12344,Has relevent experience,5,100-500,Pvt Ltd,2
13270,No relevent experience,>20,,,>4
5686,Has relevent experience,9,10/49,Pvt Ltd,1
9900,Has relevent experience,2,,,1
5446,Has relevent experience,7,100-500,Pvt Ltd,>4
12224,Has relevent experience,>20,100-500,Pvt Ltd,>4
3657,Has relevent experience,14,100-500,Pvt Ltd,2
9439,No relevent experience,6,10000+,Pvt Ltd,1
3431,Has relevent experience,16,<10,Pvt Ltd,3
17459,Has relevent experience,>20,,,>4
11062,Has relevent experience,>20,<10,Pvt Ltd,>4
26136,Has relevent experience,2,5000-9999,Pvt Ltd,2
31443,Has relevent experience,15,100-500,Pvt Ltd,>4
19891,Has relevent experience,>20,10000+,Pvt Ltd,>4
21624,Has relevent experience,>20,50-99,Pvt Ltd,2
3857,Has relevent experience,11,<10,Pvt Ltd,1
7662,No relevent experience,2,,,1
2834,Has relevent experience,<1,100-500,Pvt Ltd,1
18621,Has relevent experience,5,100-500,Pvt Ltd,2
24301,No relevent experience,2,,,1
27322,No relevent experience,1,,,never
4898,No relevent experience,6,,,1
18714,Has relevent experience,>20,,,3
16546,Has relevent experience,4,1000-4999,Pvt Ltd,2
8783,Has relevent experience,3,,,>4
27387,Has relevent experience,9,1000-4999,Pvt Ltd,1
7725,Has relevent experience,5,1000-4999,Pvt Ltd,never
11636,No relevent experience,11,,,never
14820,Has relevent experience,11,100-500,Pvt Ltd,3
18872,Has relevent experience,10,10000+,Pvt Ltd,2
33377,Has relevent experience,10,100-500,Pvt Ltd,2
31344,Has relevent experience,>20,100-500,Public Sector,>4
22968,Has relevent experience,9,<10,Funded Startup,3
22171,Has relevent experience,19,100-500,Public Sector,1
20927,Has relevent experience,18,,,
11820,Has relevent experience,>20,10/49,Pvt Ltd,3
6195,Has relevent experience,9,1000-4999,Pvt Ltd,2
30129,No relevent experience,5,,,1
13654,Has relevent experience,5,50-99,Pvt Ltd,2
2523,No relevent experience,11,1000-4999,Pvt Ltd,>4
23979,Has relevent experience,9,,,2
30080,Has relevent experience,6,,,never
9620,Has relevent experience,15,100-500,Funded Startup,>4
32665,No relevent experience,3,,,never
16716,No relevent experience,5,<10,Pvt Ltd,3
4237,No relevent experience,15,,,2
23117,No relevent experience,6,,,1
17317,Has relevent experience,6,50-99,Pvt Ltd,1
18708,No relevent experience,5,,,never
9969,Has relevent experience,12,,,1
9141,Has relevent experience,>20,,,>4
3958,Has relevent experience,10,10000+,Pvt Ltd,>4
12783,Has relevent experience,8,100-500,Pvt Ltd,>4
7850,Has relevent experience,>20,<10,Pvt Ltd,never
19392,No relevent experience,4,10/49,Pvt Ltd,1
7073,No relevent experience,3,10/49,Pvt Ltd,1
33118,Has relevent experience,8,10000+,Pvt Ltd,1
7274,Has relevent experience,12,500-999,,1
4221,No relevent experience,7,,Pvt Ltd,never
9474,No relevent experience,6,10000+,Pvt Ltd,1
22331,No relevent experience,9,,,never
3384,Has relevent experience,5,10000+,Pvt Ltd,2
21095,No relevent experience,1,,,never
11749,No relevent experience,2,,,never
2849,No relevent experience,3,50-99,Funded Startup,1
32436,No relevent experience,3,,Public Sector,never
19399,Has relevent experience,1,500-999,Pvt Ltd,1
11175,Has relevent experience,14,1000-4999,Pvt Ltd,1
12743,Has relevent experience,9,50-99,Pvt Ltd,never
7594,No relevent experience,15,,,1
26012,No relevent experience,4,10/49,Early Stage Startup,1
4553,No relevent experience,<1,,Pvt Ltd,never
26884,Has relevent experience,15,10000+,,3
4117,Has relevent experience,>20,100-500,Funded Startup,>4
32785,No relevent experience,5,,,never
30661,No relevent experience,9,100-500,Pvt Ltd,1
27047,Has relevent experience,9,50-99,Pvt Ltd,2
30116,Has relevent experience,7,50-99,Pvt Ltd,1
23942,Has relevent experience,13,10/49,Funded Startup,4
30610,Has relevent experience,5,<10,Early Stage Startup,2
27364,Has relevent experience,4,<10,Funded Startup,1
18017,No relevent experience,1,<10,NGO,never
1920,Has relevent experience,10,50-99,Public Sector,2
7166,No relevent experience,18,10000+,Pvt Ltd,>4
5022,No relevent experience,4,,,never
20835,No relevent experience,4,1000-4999,,1
18025,Has relevent experience,>20,10000+,Pvt Ltd,>4
15758,Has relevent experience,17,<10,Pvt Ltd,>4
31748,Has relevent experience,7,10000+,Public Sector,1
31005,No relevent experience,3,,,never
20858,Has relevent experience,16,10/49,Pvt Ltd,2
27548,No relevent experience,3,,,never
21132,No relevent experience,8,,,1
2169,Has relevent experience,4,10/49,Early Stage Startup,1
21693,Has relevent experience,13,1000-4999,Pvt Ltd,>4
11354,Has relevent experience,>20,<10,Pvt Ltd,>4
13566,Has relevent experience,2,50-99,,2
14102,Has relevent experience,8,100-500,,4
21574,Has relevent experience,>20,,,4
33046,Has relevent experience,>20,10000+,Pvt Ltd,>4
12859,Has relevent experience,5,50-99,Funded Startup,1
3508,Has relevent experience,>20,100-500,Pvt Ltd,>4
4469,Has relevent experience,10,1000-4999,Pvt Ltd,2
8503,No relevent experience,2,,,never
202,No relevent experience,>20,10/49,Funded Startup,>4
32926,No relevent experience,19,10000+,Pvt Ltd,4
5234,Has relevent experience,6,100-500,Funded Startup,1
5221,Has relevent experience,>20,,,>4
25382,Has relevent experience,10,10000+,Pvt Ltd,4
19960,Has relevent experience,6,50-99,Pvt Ltd,1
14527,Has relevent experience,<1,<10,Early Stage Startup,1
21069,No relevent experience,3,,,
20193,No relevent experience,10,,,1
11980,No relevent experience,15,,,1
30243,Has relevent experience,9,<10,Pvt Ltd,never
14986,Has relevent experience,>20,10/49,Pvt Ltd,never
17222,Has relevent experience,12,,Pvt Ltd,1
13731,Has relevent experience,7,10/49,,1
13439,Has relevent experience,>20,500-999,Pvt Ltd,>4
22923,No relevent experience,6,,,2
1356,Has relevent experience,>20,<10,Pvt Ltd,>4
23551,No relevent experience,9,,,1
6110,Has relevent experience,>20,10/49,Pvt Ltd,>4
11738,Has relevent experience,10,,,1
2102,Has relevent experience,5,100-500,Early Stage Startup,2
12176,Has relevent experience,>20,50-99,Funded Startup,1
32124,Has relevent experience,19,<10,Pvt Ltd,1
1516,Has relevent experience,7,50-99,,1
9631,Has relevent experience,14,10000+,Pvt Ltd,never
3522,Has relevent experience,>20,100-500,Funded Startup,2
15084,Has relevent experience,11,,,1
32528,No relevent experience,3,,,never
11337,No relevent experience,9,,,never
28301,Has relevent experience,>20,10000+,Pvt Ltd,>4
4229,Has relevent experience,8,50-99,Funded Startup,1
8541,Has relevent experience,>20,500-999,NGO,
23178,No relevent experience,4,10000+,Pvt Ltd,1
20643,Has relevent experience,4,10000+,Pvt Ltd,never
10666,Has relevent experience,19,10000+,Pvt Ltd,never
6336,No relevent experience,2,,,never
19510,Has relevent experience,11,,,1
2733,No relevent experience,2,,Pvt Ltd,never
27264,Has relevent experience,9,100-500,Pvt Ltd,>4
7676,No relevent experience,3,10/49,Funded Startup,3
12466,Has relevent experience,>20,10/49,Funded Startup,2
8301,Has relevent experience,3,500-999,Pvt Ltd,1
10991,No relevent experience,2,,,1
7252,Has relevent experience,2,,,1
18303,No relevent experience,3,,,
7675,Has relevent experience,19,,,2
8898,Has relevent experience,14,10000+,Pvt Ltd,4
22735,Has relevent experience,>20,10000+,Pvt Ltd,>4
3093,Has relevent experience,>20,,,>4
11259,Has relevent experience,14,50-99,Pvt Ltd,4
733,Has relevent experience,14,,Pvt Ltd,>4
27932,No relevent experience,3,,,never
7153,Has relevent experience,8,10/49,Early Stage Startup,1
10870,Has relevent experience,3,50-99,Pvt Ltd,1
16114,Has relevent experience,8,10000+,Pvt Ltd,1
32158,Has relevent experience,16,10000+,Pvt Ltd,3
22048,Has relevent experience,>20,<10,Pvt Ltd,4
14707,No relevent experience,3,10/49,Pvt Ltd,1
4678,Has relevent experience,>20,<10,Early Stage Startup,2
10070,Has relevent experience,>20,100-500,Funded Startup,3
18571,Has relevent experience,7,50-99,Pvt Ltd,1
16340,Has relevent experience,12,1000-4999,Pvt Ltd,never
18026,No relevent experience,7,,,never
10541,Has relevent experience,2,,,2
10036,No relevent experience,10,,Public Sector,>4
2792,Has relevent experience,>20,5000-9999,Pvt Ltd,>4
162,Has relevent experience,>20,500-999,Pvt Ltd,3
5070,No relevent experience,3,,,never
10530,Has relevent experience,7,50-99,Pvt Ltd,1
22378,No relevent experience,>20,,,never
20865,Has relevent experience,>20,50-99,Pvt Ltd,1
7344,No relevent experience,3,,,never
6789,No relevent experience,5,500-999,Pvt Ltd,1
12839,No relevent experience,<1,,,never
30306,Has relevent experience,7,100-500,Pvt Ltd,1
16274,No relevent experience,>20,,,>4
13694,Has relevent experience,5,<10,Early Stage Startup,1
12232,Has relevent experience,14,50-99,Pvt Ltd,2
5154,No relevent experience,4,100-500,Pvt Ltd,2
1272,Has relevent experience,>20,,,1
26890,Has relevent experience,5,500-999,Pvt Ltd,1
15515,Has relevent experience,16,100-500,NGO,1
11301,No relevent experience,10,,NGO,3
16516,Has relevent experience,12,50-99,Pvt Ltd,2
32632,Has relevent experience,7,50-99,Pvt Ltd,never
16778,No relevent experience,1,500-999,Pvt Ltd,1
7423,No relevent experience,2,,,1
2649,No relevent experience,4,,,1
8063,Has relevent experience,>20,<10,Pvt Ltd,>4
3936,Has relevent experience,6,50-99,Pvt Ltd,3
17750,No relevent experience,5,10/49,,4
29305,Has relevent experience,14,<10,Pvt Ltd,>4
4190,Has relevent experience,>20,,,>4
8775,Has relevent experience,15,,,1
29702,No relevent experience,>20,,,>4
23171,No relevent experience,6,,Public Sector,2
32035,Has relevent experience,3,100-500,Pvt Ltd,2
11765,Has relevent experience,>20,100-500,Pvt Ltd,>4
22347,Has relevent experience,19,5000-9999,Pvt Ltd,1
19548,Has relevent experience,1,100-500,NGO,1
21037,No relevent experience,14,,,2
3201,Has relevent experience,>20,50-99,NGO,>4
17150,Has relevent experience,7,<10,,never
23683,No relevent experience,4,10000+,Pvt Ltd,1
27331,No relevent experience,8,,,2
21562,Has relevent experience,15,50-99,Funded Startup,2
6960,Has relevent experience,15,5000-9999,Pvt Ltd,>4
21720,Has relevent experience,>20,,Pvt Ltd,2
24059,Has relevent experience,1,10000+,Pvt Ltd,1
19226,No relevent experience,2,50-99,,never
4083,Has relevent experience,9,<10,Pvt Ltd,>4
32154,Has relevent experience,>20,100-500,Pvt Ltd,>4
14600,Has relevent experience,10,100-500,Pvt Ltd,>4
2636,Has relevent experience,3,,,1
10987,Has relevent experience,6,500-999,Pvt Ltd,2
9286,No relevent experience,2,,,never
31724,Has relevent experience,>20,50-99,Pvt Ltd,>4
27742,No relevent experience,4,,,never
29059,Has relevent experience,5,<10,,1
25451,Has relevent experience,>20,1000-4999,Pvt Ltd,3
32644,Has relevent experience,17,50-99,Pvt Ltd,>4
16755,No relevent experience,7,,,never
23051,Has relevent experience,4,10000+,Pvt Ltd,1
26905,Has relevent experience,5,50-99,Funded Startup,1
3290,No relevent experience,<1,,,>4
10409,Has relevent experience,6,50-99,Pvt Ltd,>4
24679,Has relevent experience,3,<10,Public Sector,1
7290,No relevent experience,2,,,1
622,Has relevent experience,10,,,1
5468,No relevent experience,>20,10000+,Pvt Ltd,1
19809,Has relevent experience,>20,50-99,Pvt Ltd,1
15492,Has relevent experience,7,<10,Early Stage Startup,1
19828,Has relevent experience,4,,,1
15389,No relevent experience,7,50-99,Pvt Ltd,1
16133,No relevent experience,9,,,1
26522,No relevent experience,3,,,2
25240,Has relevent experience,7,10000+,NGO,1
28899,Has relevent experience,>20,50-99,Pvt Ltd,>4
8,No relevent experience,13,100-500,Funded Startup,2
15273,Has relevent experience,,,,
1005,Has relevent experience,14,100-500,Funded Startup,2
19199,Has relevent experience,7,,,1
18623,No relevent experience,4,,,1
11436,No relevent experience,11,,,1
12679,Has relevent experience,>20,10000+,Pvt Ltd,>4
8046,Has relevent experience,9,10/49,Pvt Ltd,>4
240,No relevent experience,7,,,>4
31302,No relevent experience,12,,,4
5860,Has relevent experience,5,<10,Funded Startup,3
32707,Has relevent experience,>20,1000-4999,,1
9293,Has relevent experience,15,10000+,Pvt Ltd,1
5122,No relevent experience,7,,,2
24520,Has relevent experience,7,<10,,1
21184,Has relevent experience,5,10000+,Pvt Ltd,1
5310,Has relevent experience,5,50-99,Funded Startup,1
7241,Has relevent experience,15,100-500,Pvt Ltd,2
8664,Has relevent experience,>20,500-999,Pvt Ltd,>4
24686,No relevent experience,13,,,never
28612,Has relevent experience,>20,500-999,,1
31754,Has relevent experience,9,50-99,Pvt Ltd,1
22415,No relevent experience,<1,10/49,Pvt Ltd,never
10797,Has relevent experience,>20,10000+,Pvt Ltd,3
10926,Has relevent experience,9,100-500,Pvt Ltd,1
3934,Has relevent experience,10,100-500,Pvt Ltd,3
13331,Has relevent experience,15,100-500,Pvt Ltd,3
25666,Has relevent experience,3,<10,,1
17280,Has relevent experience,13,,,1
32569,Has relevent experience,4,1000-4999,Pvt Ltd,2
26081,No relevent experience,7,,,1
16958,Has relevent experience,5,50-99,Pvt Ltd,2
31667,Has relevent experience,1,,,1
27671,Has relevent experience,9,100-500,Pvt Ltd,1
890,Has relevent experience,10,10000+,Pvt Ltd,1
25500,Has relevent experience,13,1000-4999,NGO,3
29697,No relevent experience,>20,1000-4999,Pvt Ltd,1
6397,Has relevent experience,>20,50-99,Funded Startup,>4
4081,Has relevent experience,15,100-500,Pvt Ltd,2
17682,Has relevent experience,7,50-99,Pvt Ltd,1
29774,Has relevent experience,6,50-99,Pvt Ltd,1
10018,Has relevent experience,12,10000+,Pvt Ltd,4
28242,Has relevent experience,>20,1000-4999,Pvt Ltd,1
22447,Has relevent experience,19,,,1
26880,Has relevent experience,10,10/49,Pvt Ltd,3
20839,Has relevent experience,>20,10000+,Pvt Ltd,>4
20626,Has relevent experience,7,50-99,Pvt Ltd,2
2764,Has relevent experience,19,50-99,Pvt Ltd,>4
26362,No relevent experience,6,,,never
17628,Has relevent experience,1,1000-4999,Pvt Ltd,1
21040,Has relevent experience,5,10000+,Pvt Ltd,1
5689,Has relevent experience,8,,,2
12313,No relevent experience,19,,,1
20729,No relevent experience,7,1000-4999,Public Sector,>4
23143,Has relevent experience,9,10/49,Pvt Ltd,1
31770,Has relevent experience,2,10000+,Pvt Ltd,1
22651,Has relevent experience,13,,,2
3779,Has relevent experience,4,50-99,Pvt Ltd,3
21926,Has relevent experience,2,100-500,,1
1544,Has relevent experience,6,100-500,Pvt Ltd,2
30323,Has relevent experience,18,,,1
23285,Has relevent experience,16,,,1
5905,Has relevent experience,<1,50-99,Pvt Ltd,1
5752,Has relevent experience,7,100-500,Pvt Ltd,1
32724,Has relevent experience,5,100-500,Pvt Ltd,1
4831,Has relevent experience,10,100-500,Pvt Ltd,never
25424,No relevent experience,2,,,never
23415,Has relevent experience,9,<10,Funded Startup,2
505,No relevent experience,2,,Pvt Ltd,never
8841,Has relevent experience,11,50-99,Public Sector,1
24354,Has relevent experience,19,,,never
23502,Has relevent experience,5,100-500,Pvt Ltd,1
32138,No relevent experience,10,10/49,Pvt Ltd,>4
10085,Has relevent experience,10,1000-4999,Pvt Ltd,1
9307,Has relevent experience,11,1000-4999,Pvt Ltd,2
13973,No relevent experience,<1,,,
25284,No relevent experience,2,,,2
28520,Has relevent experience,>20,10/49,Funded Startup,2
12582,Has relevent experience,15,10/49,Early Stage Startup,1
30863,Has relevent experience,5,50-99,Pvt Ltd,1
12393,Has relevent experience,>20,10/49,Funded Startup,>4
16127,Has relevent experience,5,500-999,Pvt Ltd,1
15703,Has relevent experience,12,,,>4
668,Has relevent experience,2,10/49,Early Stage Startup,1
20613,Has relevent experience,9,50-99,Pvt Ltd,1
28455,Has relevent experience,10,10/49,Pvt Ltd,1
214,Has relevent experience,2,10/49,Pvt Ltd,never
14087,Has relevent experience,14,10000+,Pvt Ltd,1
14134,Has relevent experience,>20,,,>4
10784,Has relevent experience,>20,,Pvt Ltd,2
26641,Has relevent experience,17,1000-4999,Pvt Ltd,4
24274,Has relevent experience,5,,,1
28463,No relevent experience,9,,,2
24902,Has relevent experience,8,10000+,Pvt Ltd,1
22699,No relevent experience,9,10000+,Pvt Ltd,never
28369,Has relevent experience,11,500-999,Pvt Ltd,1
24038,No relevent experience,6,,,1
8577,Has relevent experience,17,1000-4999,Pvt Ltd,1
13195,No relevent experience,5,100-500,Public Sector,1
13387,Has relevent experience,7,100-500,Pvt Ltd,>4
32781,No relevent experience,2,,,never
26476,Has relevent experience,11,5000-9999,Pvt Ltd,3
10857,No relevent experience,1,,,1
24407,Has relevent experience,7,,,1
28935,Has relevent experience,3,100-500,Pvt Ltd,1
19048,No relevent experience,3,10000+,Pvt Ltd,3
235,No relevent experience,6,,Pvt Ltd,1
19363,Has relevent experience,17,,,>4
8987,Has relevent experience,3,50-99,Pvt Ltd,1
7717,Has relevent experience,>20,,,>4
14941,No relevent experience,3,,,1
19465,Has relevent experience,16,10/49,Pvt Ltd,3
6729,No relevent experience,8,,,1
22861,Has relevent experience,8,10/49,Funded Startup,1
3572,Has relevent experience,19,10000+,Pvt Ltd,never
1486,No relevent experience,6,,Pvt Ltd,never
6594,Has relevent experience,14,<10,Pvt Ltd,1
32118,Has relevent experience,14,<10,Pvt Ltd,1
28299,No relevent experience,4,1000-4999,Pvt Ltd,1
21573,Has relevent experience,3,<10,Pvt Ltd,2
12945,Has relevent experience,3,1000-4999,Pvt Ltd,1
1099,Has relevent experience,>20,1000-4999,Pvt Ltd,2
20428,Has relevent experience,7,100-500,Funded Startup,1
24032,Has relevent experience,19,100-500,Pvt Ltd,>4
31439,Has relevent experience,>20,,,1
6446,No relevent experience,3,100-500,NGO,2
9704,Has relevent experience,>20,<10,Pvt Ltd,1
32677,Has relevent experience,17,5000-9999,NGO,>4
13428,Has relevent experience,5,<10,,2
5434,No relevent experience,2,,Pvt Ltd,never
12324,Has relevent experience,11,5000-9999,Pvt Ltd,1
31532,Has relevent experience,18,100-500,Pvt Ltd,>4
28212,Has relevent experience,3,,,1
15362,No relevent experience,3,,,1
21111,Has relevent experience,>20,50-99,Pvt Ltd,>4
14458,No relevent experience,11,10/49,Public Sector,1
9386,Has relevent experience,>20,100-500,Public Sector,>4
31138,Has relevent experience,5,<10,Pvt Ltd,1
31143,Has relevent experience,>20,500-999,Other,>4
11203,No relevent experience,1,,,1
32412,No relevent experience,5,50-99,Pvt Ltd,1
17745,Has relevent experience,3,50-99,Pvt Ltd,2
11080,Has relevent experience,6,50-99,Pvt Ltd,1
10472,No relevent experience,9,,Pvt Ltd,1
11657,Has relevent experience,>20,5000-9999,Pvt Ltd,>4
3298,Has relevent experience,19,10000+,Pvt Ltd,>4
21991,Has relevent experience,5,50-99,Pvt Ltd,never
24896,Has relevent experience,>20,10000+,Pvt Ltd,>4
33266,Has relevent experience,14,50-99,Pvt Ltd,>4
10368,No relevent experience,11,,,4
7732,No relevent experience,6,,,1
5721,Has relevent experience,16,10000+,Public Sector,1
31939,Has relevent experience,2,50-99,Pvt Ltd,1
27262,Has relevent experience,>20,<10,Pvt Ltd,1
1722,Has relevent experience,14,5000-9999,Public Sector,1
13063,Has relevent experience,15,10000+,Pvt Ltd,1
25031,Has relevent experience,18,50-99,Pvt Ltd,
5499,Has relevent experience,8,50-99,Funded Startup,1
13385,Has relevent experience,15,10/49,Pvt Ltd,2
19002,Has relevent experience,9,,,1
19784,Has relevent experience,16,<10,Pvt Ltd,1
23485,Has relevent experience,2,100-500,NGO,1
13773,Has relevent experience,8,500-999,Pvt Ltd,>4
27112,Has relevent experience,>20,,,2
26396,No relevent experience,10,,,never
14476,Has relevent experience,6,10/49,Pvt Ltd,>4
23797,No relevent experience,5,10/49,Early Stage Startup,1
29387,Has relevent experience,>20,,,never
31942,Has relevent experience,19,10/49,Funded Startup,2
21990,No relevent experience,1,,,1
8469,No relevent experience,<1,,,never
26115,Has relevent experience,>20,50-99,Pvt Ltd,>4
20850,Has relevent experience,11,100-500,Pvt Ltd,>4
24444,Has relevent experience,<1,50-99,,1
19770,No relevent experience,5,10/49,,1
31057,No relevent experience,6,10000+,Pvt Ltd,1
11215,Has relevent experience,10,10000+,Other,1
32159,Has relevent experience,14,50-99,Funded Startup,1
20354,No relevent experience,8,,,1
31999,No relevent experience,1,,Pvt Ltd,never
25437,Has relevent experience,16,1000-4999,Pvt Ltd,1
6163,Has relevent experience,16,10000+,NGO,1
28804,Has relevent experience,>20,100-500,Public Sector,>4
12623,Has relevent experience,4,10000+,Pvt Ltd,1
30870,Has relevent experience,9,10000+,Pvt Ltd,>4
10375,Has relevent experience,>20,5000-9999,Pvt Ltd,2
7007,Has relevent experience,11,100-500,Pvt Ltd,1
7404,No relevent experience,10,1000-4999,Public Sector,1
11851,Has relevent experience,>20,,,2
24370,Has relevent experience,9,10/49,Funded Startup,1
11202,Has relevent experience,13,,,1
25910,Has relevent experience,5,<10,Pvt Ltd,1
6546,No relevent experience,13,50-99,Public Sector,>4
12508,Has relevent experience,8,,,1
28634,No relevent experience,2,,,never
2192,Has relevent experience,<1,50-99,Pvt Ltd,never
7135,Has relevent experience,>20,50-99,Pvt Ltd,>4
21042,Has relevent experience,,50-99,Funded Startup,>4
15592,Has relevent experience,7,1000-4999,Pvt Ltd,1
26185,No relevent experience,2,50-99,Pvt Ltd,2
9883,Has relevent experience,>20,,,2
20919,Has relevent experience,9,<10,Pvt Ltd,3
4030,Has relevent experience,7,1000-4999,NGO,3
29932,Has relevent experience,17,10000+,NGO,3
12169,Has relevent experience,>20,100-500,Pvt Ltd,>4
12566,Has relevent experience,18,10/49,Early Stage Startup,>4
29167,Has relevent experience,>20,10000+,Pvt Ltd,2
18838,Has relevent experience,16,500-999,Pvt Ltd,4
10382,Has relevent experience,18,10000+,Pvt Ltd,1
9691,Has relevent experience,17,10000+,Pvt Ltd,>4
13315,Has relevent experience,9,10000+,Pvt Ltd,1
32003,Has relevent experience,16,100-500,Funded Startup,1
13766,Has relevent experience,8,<10,Pvt Ltd,1
30560,No relevent experience,3,,,never
9924,Has relevent experience,>20,10/49,Pvt Ltd,1
17893,No relevent experience,2,,,never
11647,Has relevent experience,>20,50-99,Pvt Ltd,1
25733,Has relevent experience,15,10/49,Funded Startup,4
29336,Has relevent experience,>20,50-99,Pvt Ltd,1
18078,No relevent experience,4,,,1
2145,No relevent experience,6,,,never
2984,Has relevent experience,12,50-99,Pvt Ltd,2
32030,No relevent experience,5,,,1
10871,Has relevent experience,>20,500-999,Pvt Ltd,3
3613,Has relevent experience,14,<10,Funded Startup,1
26253,No relevent experience,>20,,,3
2440,Has relevent experience,17,10000+,Pvt Ltd,1
1772,Has relevent experience,6,50-99,Funded Startup,4
4711,Has relevent experience,14,10/49,Funded Startup,1
15513,Has relevent experience,15,10/49,Pvt Ltd,2
30827,Has relevent experience,11,10/49,Pvt Ltd,2
21090,Has relevent experience,4,500-999,Pvt Ltd,2
30390,Has relevent experience,>20,,,1
2946,No relevent experience,2,,Pvt Ltd,1
23444,No relevent experience,8,,Public Sector,3
13718,Has relevent experience,12,100-500,Pvt Ltd,2
15603,Has relevent experience,7,500-999,,2
14570,No relevent experience,2,,,never
23094,Has relevent experience,11,10000+,Pvt Ltd,>4
315,No relevent experience,16,10000+,NGO,1
21512,Has relevent experience,14,10/49,Pvt Ltd,>4
24680,No relevent experience,5,1000-4999,NGO,3
32798,Has relevent experience,2,50-99,Pvt Ltd,
2249,No relevent experience,2,100-500,Pvt Ltd,1
17343,Has relevent experience,<1,,,1
4408,Has relevent experience,7,,,1
32076,Has relevent experience,11,50-99,Pvt Ltd,1
28137,Has relevent experience,6,,,4
22387,Has relevent experience,12,50-99,,3
2706,Has relevent experience,5,10/49,Early Stage Startup,2
11373,No relevent experience,6,,,1
18656,Has relevent experience,6,5000-9999,Pvt Ltd,1
5846,Has relevent experience,>20,,,>4
24716,Has relevent experience,4,,,2
30142,Has relevent experience,9,1000-4999,Pvt Ltd,3
18390,Has relevent experience,2,,,1
2252,Has relevent experience,8,50-99,Pvt Ltd,1
29859,Has relevent experience,<1,100-500,,never
13495,Has relevent experience,>20,50-99,Funded Startup,1
29967,Has relevent experience,19,1000-4999,,2
11335,No relevent experience,13,,,never
16533,Has relevent experience,4,,,1
14760,Has relevent experience,7,,,1
24056,Has relevent experience,8,50-99,Pvt Ltd,1
17326,Has relevent experience,4,,,never
7814,Has relevent experience,6,50-99,Pvt Ltd,1
32084,Has relevent experience,17,10/49,Funded Startup,1
30207,Has relevent experience,5,,,1
20905,Has relevent experience,10,100-500,Pvt Ltd,>4
1061,Has relevent experience,13,10/49,Pvt Ltd,>4
14502,Has relevent experience,14,50-99,Pvt Ltd,>4
31746,Has relevent experience,<1,,,1
2059,Has relevent experience,15,10/49,Funded Startup,>4
15039,Has relevent experience,10,50-99,NGO,2
24954,Has relevent experience,14,,,>4
20423,Has relevent experience,7,10000+,Pvt Ltd,4
30989,Has relevent experience,>20,100-500,Public Sector,2
20953,No relevent experience,2,,,never
26013,Has relevent experience,9,1000-4999,Pvt Ltd,1
21761,No relevent experience,3,10000+,Public Sector,1
6723,Has relevent experience,10,100-500,Pvt Ltd,1
506,Has relevent experience,>20,100-500,Pvt Ltd,>4
23504,No relevent experience,4,,,
11508,Has relevent experience,7,100-500,Funded Startup,2
14726,Has relevent experience,15,<10,Pvt Ltd,>4
17033,No relevent experience,5,,,never
23652,Has relevent experience,9,1000-4999,Public Sector,3
33264,Has relevent experience,10,5000-9999,Pvt Ltd,2
1860,Has relevent experience,11,500-999,Pvt Ltd,1
6324,Has relevent experience,6,100-500,,1
32246,Has relevent experience,>20,50-99,Pvt Ltd,>4
28932,Has relevent experience,15,500-999,Pvt Ltd,1
24913,Has relevent experience,9,10000+,Pvt Ltd,1
28385,Has relevent experience,5,10/49,Funded Startup,1
15000,Has relevent experience,7,10000+,Pvt Ltd,>4
27553,Has relevent experience,>20,<10,Pvt Ltd,>4
14995,No relevent experience,2,,,1
23165,No relevent experience,2,50-99,Pvt Ltd,1
21982,Has relevent experience,3,50-99,Pvt Ltd,2
17766,Has relevent experience,>20,50-99,Funded Startup,1
22019,Has relevent experience,>20,,,>4
30032,Has relevent experience,>20,,,1
18251,Has relevent experience,3,10000+,Pvt Ltd,2
30318,Has relevent experience,>20,50-99,Pvt Ltd,4
4521,No relevent experience,11,,Pvt Ltd,never
23724,Has relevent experience,6,50-99,Funded Startup,1
22596,Has relevent experience,10,,,2
17586,No relevent experience,2,,,1
562,Has relevent experience,16,5000-9999,Pvt Ltd,1
18585,No relevent experience,4,,,1
5292,No relevent experience,6,,,never
18613,No relevent experience,3,100-500,Pvt Ltd,2
1068,Has relevent experience,7,100-500,Pvt Ltd,1
6219,Has relevent experience,>20,,,1
22020,Has relevent experience,8,5000-9999,Pvt Ltd,2
30545,Has relevent experience,9,<10,Funded Startup,1
12537,No relevent experience,9,50-99,Pvt Ltd,2
21,Has relevent experience,8,,,2
24278,Has relevent experience,3,1000-4999,Pvt Ltd,never
9932,Has relevent experience,7,10/49,,2
17671,Has relevent experience,5,<10,Pvt Ltd,3
4458,No relevent experience,1,,Pvt Ltd,never
26528,Has relevent experience,>20,50-99,Pvt Ltd,2
15736,No relevent experience,1,,,never
9223,Has relevent experience,2,<10,Early Stage Startup,2
10402,Has relevent experience,12,10000+,Pvt Ltd,>4
30662,Has relevent experience,19,,,1
24313,No relevent experience,4,,Public Sector,1
18938,Has relevent experience,7,100-500,Pvt Ltd,3
15354,Has relevent experience,6,<10,Other,2
25320,No relevent experience,19,<10,Pvt Ltd,>4
28796,No relevent experience,>20,,,2
