Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,cluster_id,segment_label,distance_to_centroid,boundary_margin
1,1,4720,1032,975,5500,197,56,1,Traditional Food Buyers,2.155038979111062,1.9455761531195774
1,1,2083,5007,1563,1120,147,1550,1,Traditional Food Buyers,1.7088792413941518,1.070666262286022
1,1,514,8323,6869,529,93,1040,2,Grocery & Consumer Goods,2.39260048646676,0.5695008791510521
1,3,36817,3045,1493,4802,210,1824,1,Traditional Food Buyers,1.6671034963157088,1.0117301380030586
1,3,894,1703,1841,744,759,1153,1,Traditional Food Buyers,1.8714219892184936,0.466747214772155
1,3,680,1610,223,862,96,379,1,Traditional Food Buyers,2.7412993908198167,1.4662289399395232
1,3,27901,3749,6964,4479,603,2503,0,High & Diverse Spenders,1.465676388266505,0.6780515082431235
1,3,9061,829,683,16919,621,139,1,Traditional Food Buyers,2.367929461649298,1.8660615832643086
1,3,11693,2317,2543,5845,274,1409,1,Traditional Food Buyers,1.1897973609783903,1.1402125653600774
2,3,17360,6200,9694,1293,3620,1721,0,High & Diverse Spenders,0.5938231859997878,1.8843740273494716
1,3,3366,2884,2431,977,167,1104,1,Traditional Food Buyers,1.1429180368325573,1.4282800689858948
2,3,12238,7108,6235,1093,2328,2079,0,High & Diverse Spenders,0.7432285620686494,1.6430340994199375
1,3,49063,3965,4252,5970,1041,1404,0,High & Diverse Spenders,1.752349121536981,0.4075489120772362
1,3,25767,3613,2013,10303,314,1384,1,Traditional Food Buyers,1.8342684664905056,0.6567016507472565
1,3,68951,4411,12609,8692,751,2406,0,High & Diverse Spenders,1.8946950665128093,1.0727768932670905
1,3,40254,640,3600,1042,436,18,1,Traditional Food Buyers,3.1096234687970554,1.1008337171617466
1,3,7149,2247,1242,1619,1226,128,1,Traditional Food Buyers,1.6250373475455635,1.2027868841137928
1,3,15354,2102,2828,8366,386,1027,1,Traditional Food Buyers,1.3749683303378961,0.9981614569181936
1,3,16260,594,1296,848,445,258,1,Traditional Food Buyers,1.4584813130528658,2.111545685401875
1,3,42786,286,471,1388,32,22,1,Traditional Food Buyers,3.6368816702243723,2.1715570646539093
1,3,2708,2160,2642,502,965,1522,1,Traditional Food Buyers,1.7359285562653828,0.3799081542308482
1,3,6022,3354,3261,2507,212,686,1,Traditional Food Buyers,0.9080718787227724,1.295178829864704
1,3,2838,3086,4329,3838,825,1060,1,Traditional Food Buyers,1.5401600820084493,0.25627674990717875
2,2,3996,11103,12469,902,5952,741,0,High & Diverse Spenders,1.362069466903617,0.14102741724419232
1,2,21273,2013,6550,909,811,1854,0,High & Diverse Spenders,1.7333026985494842,0.07939508649342741
2,2,7588,1897,5234,417,2208,254,2,Grocery & Consumer Goods,1.760734630678831,0.3318164193366424
1,2,19087,1304,3643,3045,710,898,1,Traditional Food Buyers,1.1241121023768867,1.0942093343774193
2,2,8090,3199,6986,1455,3712,531,0,High & Diverse Spenders,1.431526840167777,0.4440839822428022
2,2,6758,4560,9965,934,4538,1037,0,High & Diverse Spenders,1.0825173882470576,0.6265476523188223
1,2,444,879,2060,264,290,259,1,Traditional Food Buyers,2.650934121945192,0.060470915858285235
2,2,16448,6243,6360,824,2662,2005,0,High & Diverse Spenders,0.9570181384586952,1.4698916166637042
2,2,5283,13316,20399,1809,8752,172,2,Grocery & Consumer Goods,2.1042830973409554,0.08633286480915103
2,2,2886,5302,9785,364,6236,555,2,Grocery & Consumer Goods,0.847800069076786,1.191150986739796
2,2,2599,3688,13829,492,10069,59,2,Grocery & Consumer Goods,1.6792556551375173,1.5982060331540338
2,2,161,7460,24773,617,11783,2410,2,Grocery & Consumer Goods,2.374158239688518,0.9027482684082972
2,2,243,12939,8852,799,3909,211,2,Grocery & Consumer Goods,1.497219889664091,1.7666196824183762
2,2,6468,12867,21570,1840,7558,1543,0,High & Diverse Spenders,1.073651853800158,1.3478743884910913
1,2,17327,2374,2842,1149,351,925,1,Traditional Food Buyers,0.9433335109190811,1.2437650185067497
1,2,6987,1020,3007,416,257,656,1,Traditional Food Buyers,1.3337875767942902,1.4287452512577765
2,2,918,20655,13567,1465,6846,806,2,Grocery & Consumer Goods,1.8679702384216574,0.2751139057276484
1,2,7034,1492,2405,12569,299,1117,1,Traditional Food Buyers,1.5342188326219368,1.2990997671337965
1,2,29635,2335,8280,3046,371,117,1,Traditional Food Buyers,2.092392821033566,0.7152642162237184
2,2,2137,3737,19172,1274,17120,142,2,Grocery & Consumer Goods,1.7515839352587688,0.9817185102434172
1,2,9784,925,2405,4447,183,297,1,Traditional Food Buyers,0.9930873175615788,2.2765653098446954
1,2,10617,1795,7647,1483,857,1233,1,Traditional Food Buyers,1.5590659356815555,0.08450661520015967
2,2,1479,14982,11924,662,3891,3508,0,High & Diverse Spenders,1.8487471226002472,0.2730931363122977
1,2,7127,1375,2201,2679,83,1059,1,Traditional Food Buyers,0.8178200088265589,2.21296612804581
1,2,1182,3088,6114,978,821,1637,2,Grocery & Consumer Goods,1.8127381208247726,0.26894134616152976
1,2,11800,2713,3558,2121,706,51,1,Traditional Food Buyers,2.147868496832574,0.791210247247129
2,2,9759,25071,17645,1128,12408,1625,0,High & Diverse Spenders,1.5490976388135325,1.162893546686317
1,2,1774,3696,2280,514,275,834,1,Traditional Food Buyers,1.7078295646639936,0.44543692611680274
1,2,9155,1897,5167,2714,228,1113,1,Traditional Food Buyers,1.040743756464189,1.0935435059497056
1,2,15881,713,3315,3703,1470,229,1,Traditional Food Buyers,1.6764381824051293,1.3526983050574168
1,2,13360,944,11593,915,1679,573,1,Traditional Food Buyers,2.11594220684046,0.20645210547175452
1,2,25977,3587,2464,2369,140,1092,1,Traditional Food Buyers,1.2864152875603228,1.1236967349402527
1,2,32717,16784,13626,60869,1272,5609,0,High & Diverse Spenders,2.937870469619216,1.5256719131393655
1,2,4414,1610,1431,3498,387,834,1,Traditional Food Buyers,0.7600538095379308,2.0218916884289904
1,2,542,899,1664,414,88,522,1,Traditional Food Buyers,2.3396660638644713,0.8547186262712954
1,2,16933,2209,3389,7849,210,1534,1,Traditional Food Buyers,1.5159453234426057,0.8982007992318357
1,2,5113,1486,4583,5127,492,739,1,Traditional Food Buyers,1.1826974259993581,1.1213347253509296
1,2,9790,1786,5109,3570,182,1043,1,Traditional Food Buyers,1.091263851468594,1.204194629827997
2,2,11223,14881,26839,1234,9606,1102,0,High & Diverse Spenders,1.3990426460974446,1.1202066686577568
1,2,22321,3216,1447,2208,178,2602,1,Traditional Food Buyers,1.5406246765015055,1.0563169676982038
2,2,8565,4980,67298,131,38102,1215,2,Grocery & Consumer Goods,2.937711536250077,0.28081877089355833
2,2,16823,928,2743,11559,332,3486,1,Traditional Food Buyers,2.0779758071583383,0.9157526672750094
2,2,27082,6817,10790,1365,4111,2139,0,High & Diverse Spenders,0.7563738852100595,2.064113919361885
1,2,13970,1511,1330,650,146,778,1,Traditional Food Buyers,1.0798981413039972,2.1195701930633444
1,2,9351,1347,2611,8170,442,868,1,Traditional Food Buyers,1.2254414000539344,1.403335472796397
1,2,3,333,7021,15601,15,550,1,Traditional Food Buyers,5.93221541477118,0.40864089330250497
1,2,2617,1188,5332,9584,573,1942,1,Traditional Food Buyers,1.998593232527244,0.5874268976661308
2,3,381,4025,9670,388,7271,1371,2,Grocery & Consumer Goods,1.4359001628437376,1.3928597984100592
2,3,2320,5763,11238,767,5162,2158,0,High & Diverse Spenders,1.4495552745186926,0.22517593962681048
1,3,255,5758,5923,349,4595,1328,2,Grocery & Consumer Goods,1.5523000165217344,1.496159504067081
2,3,1689,6964,26316,1456,15469,37,2,Grocery & Consumer Goods,2.4055853055566145,1.1627665487213976
1,3,3043,1172,1763,2234,217,379,1,Traditional Food Buyers,0.8004267859189981,2.2813483293174213
1,3,1198,2602,8335,402,3843,303,2,Grocery & Consumer Goods,0.7327756967685611,1.975494853534229
2,3,2771,6939,15541,2693,6600,1115,0,High & Diverse Spenders,1.2392618086240292,0.8026193310366272
2,3,27380,7184,12311,2809,4621,1022,0,High & Diverse Spenders,0.866480915654863,2.0063287158752905
1,3,3428,2380,2028,1341,1184,665,1,Traditional Food Buyers,1.2012102034404506,1.0156369725230079
2,3,5981,14641,20521,2005,12218,445,0,High & Diverse Spenders,1.7043255166891078,0.5419575874351596
1,3,3521,1099,1997,1796,173,995,1,Traditional Food Buyers,0.7741690808574603,2.257348668656375
2,3,1210,10044,22294,1741,12638,3137,0,High & Diverse Spenders,1.9512867337588058,0.5124536801981532
1,3,608,1106,1533,830,90,195,1,Traditional Food Buyers,2.1838580610957283,1.0066654940379487
2,3,117,6264,21203,228,8682,1111,2,Grocery & Consumer Goods,2.04442059001097,1.6846584653022165
1,3,14039,7393,2548,6386,1333,2341,0,High & Diverse Spenders,1.5976380152133236,0.6934018945691014
1,3,190,727,2012,245,184,127,2,Grocery & Consumer Goods,3.2337266985372324,0.09048478999170761
1,3,22686,134,218,3157,9,548,1,Traditional Food Buyers,3.625967606655925,2.5859660526138444
2,3,37,1275,22272,137,6747,110,2,Grocery & Consumer Goods,3.0269846583777875,2.2479477016878118
1,3,759,18664,1660,6114,536,4100,0,High & Diverse Spenders,2.94474987060064,0.3945432024883351
1,3,796,5878,2109,340,232,776,2,Grocery & Consumer Goods,2.1859759546443565,0.2556826007524493
1,3,19746,2872,2006,2601,468,503,1,Traditional Food Buyers,0.9649384753481308,1.3687776953986002
1,3,4734,607,864,1206,159,405,1,Traditional Food Buyers,1.3103532215300173,2.427375502031431
1,3,2121,1601,2453,560,179,712,1,Traditional Food Buyers,1.3706183679822947,1.1618888832470007
1,3,4627,997,4438,191,1335,314,2,Grocery & Consumer Goods,2.11084951414624,0.20815283812875762
1,3,2615,873,1524,1103,514,468,1,Traditional Food Buyers,1.152567527806503,1.6903016201013277
2,3,4692,6128,8025,1619,4515,3105,0,High & Diverse Spenders,0.8788930496356501,1.4522551279264042
1,3,9561,2217,1664,1173,222,447,1,Traditional Food Buyers,0.6220459774591078,2.185825177116829
1,3,3477,894,534,1457,252,342,1,Traditional Food Buyers,1.4835514903052427,2.223542859713315
1,3,22335,1196,2406,2046,101,558,1,Traditional Food Buyers,0.9197485094550849,2.201127264192839
1,3,6211,337,683,1089,41,296,1,Traditional Food Buyers,2.119053052283588,2.4716186925071923
2,3,39679,3944,4955,1364,523,2235,0,High & Diverse Spenders,1.648027198507193,0.342001817180525
1,3,20105,1887,1939,8164,716,790,1,Traditional Food Buyers,1.4444577065868183,1.088748309792011
1,3,3884,3801,1641,876,397,4829,1,Traditional Food Buyers,2.015600555537233,0.461922012693174
2,3,15076,6257,7398,1504,1916,3113,0,High & Diverse Spenders,0.6824416750866505,1.8490550163717785
1,3,6338,2256,1668,1492,311,686,1,Traditional Food Buyers,0.5093789356533674,2.071152940271238
1,3,5841,1450,1162,597,476,70,1,Traditional Food Buyers,2.0111841661753713,1.0418259834630232
2,3,3136,8630,13586,5641,4666,1426,0,High & Diverse Spenders,1.2319442237504001,1.3660821841850639
1,3,38793,3154,2648,1034,96,1242,1,Traditional Food Buyers,1.5992834769720252,1.1017152274640756
1,3,3225,3294,1902,282,68,1114,1,Traditional Food Buyers,1.9986357479423877,0.9883140357748847
2,3,4048,5164,10391,130,813,179,2,Grocery & Consumer Goods,1.5015515754661886,1.5641210453651384
1,3,28257,944,2146,3881,600,270,1,Traditional Food Buyers,1.367305920440443,1.7414147294888487
1,3,17770,4591,1617,9927,246,532,1,Traditional Food Buyers,1.721610685160551,1.029339828342644
1,3,34454,7435,8469,2540,1711,2893,0,High & Diverse Spenders,0.893533820725831,1.8733256593230712
1,3,1821,1364,3450,4006,397,361,1,Traditional Food Buyers,1.342855242382155,1.4480599648784058
1,3,10683,21858,15400,3635,282,5120,0,High & Diverse Spenders,1.8637192403746958,1.6732670729637897
1,3,11635,922,1614,2583,192,1068,1,Traditional Food Buyers,0.7579329064483186,2.3290915394650917
1,3,1206,3620,2857,1945,353,967,1,Traditional Food Buyers,1.6070311309023022,0.7452115100033521
1,3,20918,1916,1573,1960,231,961,1,Traditional Food Buyers,0.807236216435621,1.8884075874641955
1,3,9785,848,1172,1677,200,406,1,Traditional Food Buyers,0.8125377057660834,2.6669543725116664
1,3,9385,1530,1422,3019,227,684,1,Traditional Food Buyers,0.4689293014777897,2.4403865040046417
1,3,3352,1181,1328,5502,311,1000,1,Traditional Food Buyers,1.1560560837490244,1.963147720246864
1,3,2647,2761,2313,907,95,1827,1,Traditional Food Buyers,1.518003870063785,1.3428776549177803
1,3,518,4180,3600,659,122,654,2,Grocery & Consumer Goods,2.313191087568118,0.03979440869557038
1,3,23632,6730,3842,8620,385,819,0,High & Diverse Spenders,1.997012031628339,0.06131558273319526
1,3,12377,865,3204,1398,149,452,1,Traditional Food Buyers,0.872511118420226,2.2427985570186655
1,3,9602,1316,1263,2921,841,290,1,Traditional Food Buyers,1.0586931759740175,1.965047364918111
2,3,4515,11991,9345,2644,3378,2213,0,High & Diverse Spenders,0.76994186605006,1.6877317228588802
1,3,11535,1666,1428,6838,64,743,1,Traditional Food Buyers,1.314401387386864,2.0771459844403495
1,3,11442,1032,582,5390,74,247,1,Traditional Food Buyers,1.7241245791556024,2.503006435612826
1,3,9612,577,935,1601,469,375,1,Traditional Food Buyers,1.2573321722187707,2.4112310063707807
1,3,4446,906,1238,3576,153,1014,1,Traditional Food Buyers,1.0083790043703793,2.3776892498856936
1,3,27167,2801,2128,13223,92,1902,1,Traditional Food Buyers,2.080724535977936,0.9643941412478307
1,3,26539,4753,5091,220,10,340,1,Traditional Food Buyers,2.9946167256742284,1.0360590163148404
1,3,25606,11006,4604,127,632,288,2,Grocery & Consumer Goods,2.6359697618002143,0.32591003139524366
1,3,18073,4613,3444,4324,914,715,1,Traditional Food Buyers,1.6082245405156952,0.021045816333238765
1,3,6884,1046,1167,2069,593,378,1,Traditional Food Buyers,0.8660434452409196,2.2974772625079765
1,3,25066,5010,5026,9806,1092,960,0,High & Diverse Spenders,1.6917141085144933,0.5376399282972508
2,3,7362,12844,18683,2854,7883,553,0,High & Diverse Spenders,1.374120602111754,1.0083521595562994
2,3,8257,3880,6407,1646,2730,344,0,High & Diverse Spenders,1.5895193553175702,0.2951556268527056
1,3,8708,3634,6100,2349,2123,5137,0,High & Diverse Spenders,1.1942437964535781,1.2610923801828677
1,3,6633,2096,4563,1389,1860,1892,0,High & Diverse Spenders,1.5637789455458007,0.14662174844624642
1,3,2126,3289,3281,1535,235,4365,1,Traditional Food Buyers,1.9777200841693006,0.4005350223644051
1,3,97,3605,12400,98,2970,62,2,Grocery & Consumer Goods,2.3674486308613334,2.4278804019422857
1,3,4983,4859,6633,17866,912,2435,0,High & Diverse Spenders,1.9577884916700756,0.7134442047123568
1,3,5969,1990,3417,5679,1135,290,1,Traditional Food Buyers,1.4591226219872708,0.9596250207400172
2,3,7842,6046,8552,1691,3540,1874,0,High & Diverse Spenders,0.4872339264405234,1.7636625349075266
2,3,4389,10940,10908,848,6728,993,0,High & Diverse Spenders,1.2631821309528548,0.36084835207128596
1,3,5065,5499,11055,364,3485,1063,2,Grocery & Consumer Goods,1.3715630175283433,0.252336631674555
2,3,660,8494,18622,133,6740,776,2,Grocery & Consumer Goods,1.3478259843005085,1.7476757066493986
1,3,8861,3783,2223,633,1580,1521,1,Traditional Food Buyers,1.7931938331701673,0.0964812965980586
1,3,4456,5266,13227,25,6818,1393,2,Grocery & Consumer Goods,2.555808534533163,1.0472308889480462
2,3,17063,4847,9053,1031,3415,1784,0,High & Diverse Spenders,0.8288047595499778,1.5895797114074823
1,3,26400,1377,4172,830,948,1218,1,Traditional Food Buyers,1.5821123789287348,0.6075746222152227
2,3,17565,3686,4657,1059,1803,668,0,High & Diverse Spenders,1.4857124617963653,0.2902823815937239
2,3,16980,2884,12232,874,3213,249,0,High & Diverse Spenders,2.0044156618263025,0.08755138287865316
1,3,11243,2408,2593,15348,108,1886,1,Traditional Food Buyers,1.9627123511092797,0.9898197897478331
1,3,13134,9347,14316,3141,5079,1894,0,High & Diverse Spenders,0.5561152034940716,2.2646606353293435
1,3,31012,16687,5429,15082,439,1163,0,High & Diverse Spenders,2.1974363210041945,0.8810862650802651
1,3,3047,5970,4910,2198,850,317,1,Traditional Food Buyers,1.8639325506321915,0.008453115950181722
1,3,8607,1750,3580,47,84,2501,1,Traditional Food Buyers,3.219155751188388,0.42987875651409757
1,3,3097,4230,16483,575,241,2080,0,High & Diverse Spenders,2.1070860670956875,0.18550293357382008
1,3,8533,5506,5160,13486,1377,1498,0,High & Diverse Spenders,1.666765473821915,0.7638379544071106
1,3,21117,1162,4754,269,1328,395,1,Traditional Food Buyers,2.151685241380311,0.46346019261553684
1,3,1982,3218,1493,1541,356,1449,1,Traditional Food Buyers,1.4100287471850843,1.1971751561626809
1,3,16731,3922,7994,688,2371,838,0,High & Diverse Spenders,1.3489728465208866,0.7338975691620315
1,3,29703,12051,16027,13135,182,2204,0,High & Diverse Spenders,2.27509629884944,1.0765127317988537
1,3,39228,1431,764,4510,93,2346,1,Traditional Food Buyers,1.9365965161407483,1.6822310372997935
2,3,14531,15488,30243,437,14841,1867,0,High & Diverse Spenders,1.965453072926821,0.7895074004017537
1,3,10290,1981,2232,1038,168,2125,1,Traditional Food Buyers,1.165251149819386,1.417413788358399
1,3,2787,1698,2510,65,477,52,2,Grocery & Consumer Goods,2.8400538191976423,0.5256880647981341
